title	score	num_comm	created	content
"""Prostitution Not An Offence; Adult Woman Has Right To Choose Her Vocation"": Bombay High Court Orders Release of 3 Sex Workers From Corrective Institution"	9375	525	2020-09-25 17:47:39	
New Zealand to vote on legalizing marijuana and euthanasia	9259	509	2020-10-16 08:25:04	
Trump says he has ordered the declassification of “any and all” documents related to Russia, Clinton email probes.	9204	1651	2020-10-07 05:12:06	
Canadian opinions of the U.S. at lowest in nearly 40 years, polling program shows	9052	1224	2020-10-15 16:40:29	
Turkish F-16 shoots down Armenian SU-25 in Armenian airspace, pilot killed	9040	954	2020-09-29 18:22:48	
US removes Sudan from terrorism blacklist in return for $335m	9016	977	2020-10-20 00:34:30	
France plans punishment, including jail terms for 'virginity tests'	8906	476	2020-10-06 20:10:58	
Jacinda Ardern eyes historic election win in COVID-free New Zealand	8522	551	2020-10-15 02:44:41	
Brazil surpasses 150k COVID-19 related deaths.	8451	359	2020-10-11 22:14:28	
Universal basic income gains support in South Korea after COVID | The debate on universal basic income has gained momentum in South Korea, as the coronavirus outbreak and the country's growing income divide force a rethink on social safety nets.	8420	722	2020-09-28 14:58:44	
Canada has begun accepting Hong Kong pro-democracy activists as refugees, a sign that this country is opening its doors to those fleeing Beijing’s crackdown on civil rights in the former British colony.	8386	416	2020-10-07 05:39:59	
Pull investments from companies not committed to environment, pope says	8349	289	2020-10-12 16:58:31	
France to expel 231 suspected extremists after attack on teacher	8371	1200	2020-10-18 22:41:59	
Queen’s Speech to include legislation to ban the import of hunting trophies - A new law to ban the import of “trophies” by wild animal hunters is to be included in the UK government’s legislative programme for the coming year.	8251	321	2020-10-04 17:43:13	
Macron calls on Europe to quit dependency on US arms	8205	1001	2020-09-30 19:35:01	
International Council of Nurses Reveal 70% of Nurses Are Facing Violence or Discrimination. Most of the nurses facing burn-out, psychological distress, or abuse.	8196	345	2020-10-10 19:33:36	
North Korean leader Kim Jong Un apologized on Friday for the lethal shooting of a South Korean official, stating that the incident “shouldn’t have happened” and that he’s “sorry to have disappointed” the South.	8197	875	2020-09-25 09:45:38	
American journalist Andre Vltchek found suspiciously dead in his car in Istanbul	8173	384	2020-09-23 18:49:14	
New Zealand's Covid-19 response the best in the world, say global business leaders	8143	577	2020-10-08 13:04:37	
New Zealand records 25 Covid cases amid arrival of foreign fishing crews	8209	672	2020-10-21 15:03:36	
Herd immunity letter signed by fake experts including 'Dr Johnny Bananas' : Open letter calling for new Covid-19 strategy also signed by ‘Prof Cominic Dummings’	7915	452	2020-10-11 02:25:33	
Belarus opposition leader Tichanovskaya provides the regime with an Ultimatum: 13 days until state-wide strike unless opposition demands are met.	7697	239	2020-10-13 16:05:22	
European top court upholds French ban on bee-harming pesticides: The European Court of Justice ruled that France's ban of neonicotinoid pesticides, considered harmful to bees, is legal.	7602	122	2020-10-11 20:29:51	
Russian surfers say mystery ocean pollution is poisoning them and killing animals	7576	361	2020-10-06 16:22:02	
‘Not fit to be PM’: Boris Johnson forced to apologise after failing to explain his own COVID rules - Boris Johnson has been branded “totally incompetent” after he was unable to explain the new local lockdown rules for the north-east of England.	7536	335	2020-09-30 15:36:58	
Canadian government moves to reintroduce bill that bans forced LGBTQ2 conversion therapy.	7512	882	2020-10-02 02:43:23	
Decoy turtle eggs put in nests to track illegal trade in Costa Rica - Quarter of fakes were stolen with some eggs tracked from thief to trafficker to consumer	7456	177	2020-10-05 20:14:11	
40% of the Amazon Rainforest Is at Tipping Point To Becoming Savanna	7342	319	2020-10-09 19:49:33	
A suspected toxic spill in Russia's Far East has killed 95% of marine life on the seabed	7333	317	2020-10-08 08:26:11	
Tax the rich to reduce debt after recovery, IMF says	7241	788	2020-10-13 19:52:08	
China Gives Unproven Covid-19 Vaccines to Thousands, With Risks Unknown	7188	937	2020-09-26 15:56:40	
Nigerian protesters demand the end of an anti-robbery police unit that robs people, they say	7154	177	2020-10-10 16:55:41	
Russia dismisses Trump administration efforts to secure nuclear arms deal before election	7138	477	2020-10-14 02:45:32	
‘Extinction is forever’: World leaders pledge to end biodiversity loss	7116	191	2020-09-28 18:53:00	
Iran clears path for women to run for president	6971	530	2020-10-19 17:56:28	
Monsanto lose case against French farmer	7447	629	2020-10-21 18:41:31	
Top Thai zoo official shot dead while investigating disappearance of a rare albino barking deer. The gunman, also a senior official at the zoo, and long time friend of the victim killed himself after fleeing the scene. Some suspicions that the deer was sold to or stolen by wildlife traffickers.	6656	152	2020-10-04 00:42:18	
